id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option1,6,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,2
70,6,Junior,Semester 2,CE 315,Reinforced Concrete I,2,3,3,1
71,6,Junior,Semester 2,BUS 200,Business & Entrepreneurship,3,0,3,1
72,6,Junior,Semester 2,CGS 392,Career Essentials,0,2,1,1
73,6,Senior,Semester 1,ARE 398,Internship,0,0,6,1
74,6,Senior,Semester 1,ARE 411,Senior Design Project I,0,1,0,1
75,6,Senior,Semester 2,ARE 412,Senior Design Project II,0,6,3,1
76,6,Senior,Semester 2,STAT 201,Probability and Statistics for Engineers and Scientists,3,1,3,1
77,17,Freshman,Semester 1,CHEM 101,Principles of Chemical Science I,3,3,4,1
78,17,Freshman,Semester 1,ENGL 101,Introduction to Academic Discourse,3,0,3,1
79,17,Freshman,Semester 1,IAS 121,Language Foundation,2,0,2,1
80,17,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,1
81,17,Freshman,Semester 1,PHYS 101,General Physics I,3,3,4,1
82,17,Freshman,Semester 2,ENGL 102,Introduction to Argument Writing,3,0,3,1
83,17,Freshman,Semester 2,IAS 111,Belief and its Consequences,2,0,2,1
84,17,Freshman,Semester 2,ICS 104,Introduction to Programming in Python and C,2,3,3,1
85,17,Freshman,Semester 2,MATH 102,Calculus II,4,0,4,1
86,17,Freshman,Semester 2,PHYS 102,General Physics II,3,3,4,1
87,17,Freshman,Semester 2,PE 101,Physical Education III,0,2,1,1
88,17,Sophomore,Semester 1,ENGL 214,Academic & Professional Communication,3,0,3,1
89,17,Sophomore,Semester 1,AE 211,Fundamentals of Thermo-Fluids,3,0,3,1
90,17,Sophomore,Semester 1,ISE 291,Introduction to Data Science,3,0,3,1
91,17,Sophomore,Semester 1,MATH 201,Calculus III,3,0,3,1
92,17,Sophomore,Semester 1,CE 201,Statics,3,0,3,1
93,17,Sophomore,Semester 1,AE 222,Introduction to Aerospace Engineering,3,0,3,1
94,17,Sophomore,Semester 2,AE 228,Introduction to AE Structures and Materials,3,0,3,1
95,17,Sophomore,Semester 2,COE 292,Introduction to Artificial Intelligence,3,0,3,1
96,17,Sophomore,Semester 2,IAS 212,Ethics and Governance,2,0,2,1
97,17,Sophomore,Semester 2,MATH 208,Differential Equations and Linear Algebra,3,0,3,1
98,17,Sophomore,Semester 2,ME 201,Dynamics,3,0,3,1
99,17,Sophomore,Semester 2,AE 223,Fluid Mechanics Lab,0,3,1,1
100,17,Junior,Semester 1,ME 210,Mechanical Engineering Drawing and Graphics,2,3,3,1
101,17,Junior,Semester 1,AE 314,Systems and Control,3,0,3,1
102,17,Junior,Semester 1,AE 315,Systems and Control Lab,0,3,1,1
103,17,Junior,Semester 1,MATH 371,Numerical Computing,2,2,3,1
104,17,Junior,Semester 2,AE 333,Aerodynamics I,3,0,3,1
105,17,Junior,Semester 2,AE 325,Gas Dynamics I,3,0,3,1
106,17,Junior,Semester 2,BUS 200,Business & Entrepreneurship,3,0,3,1
107,17,Junior,Semester 2,AE 328,Flight Structures I,3,0,3,1
108,17,Junior,Semester 2,CGS 392,Career Essentials,0,2,1,1
109,17,Junior,Semester 2,AE 321,Structures and Materials Lab,0,3,1,1
110,17,Junior,Semester 2,AE 358,Computer Aided Engineering Lab,0,3,1,1
111,17,Senior,Semester 1,AE 398,Aerospace Engineering Internship,0,0,6,1
112,17,Senior,Semester 1,AE 411,Senior Design Project I,0,1,0,1
113,17,Senior,Semester 2,AE 412,Senior Design Project II,0,6,3,1
114,17,Senior,Semester 2,AE 426,Flight Dynamics I,3,0,3,1
115,17,Senior,Semester 2,AE 427,Aerospace Vehicle Design,3,0,3,1
116,17,Senior,Semester 2,AE 422,Flight Propulsion I,3,0,3,1
117,17,Senior,Semester 2,AE 423,Aerodynamic and Propulsion Lab,0,3,1,1
118,17,Freshman,Semester 1,CHEM 101,Principles of Chemical Science I,3,3,4,2
119,17,Freshman,Semester 1,ENGL 101,Introduction to Academic Discourse,3,0,3,2
